Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,100,0,158,0,0,0,0,1121,45,106,35,0,2,150,278,70,9,0,453,0,0,15,0,0,21,0,0,6,43,0,0,50,14,2676
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Four Wheeler,14,1660,18,269,605,1541,1043,43,8329,964,6590,157,2674,468,164,11948,9814,0,0,13746,20,30,1735,0,3,1333,790,91,4515,5992,30,490,4941,2597,82614
Goods Vehicle,0,44,0,16,14,23,26,1,326,22,362,10,69,17,0,219,54,0,0,461,2,0,58,0,0,75,85,4,97,377,1,1,105,137,2606
Public Service Vehicle,0,100,0,158,0,0,0,0,1121,45,106,35,0,2,150,278,70,9,0,453,0,0,18,0,0,21,7,0,6,50,0,0,50,14,2693
Special Category Vehicles,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17
Three Wheeler,0,2517,0,57892,75189,11360,3198,17,26343,45,3038,41,20312,13226,7599,5256,4069,1,0,11602,19,280,29091,0,0,4767,16105,92,29663,5464,6024,10617,232578,7272,583677
Tractor,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7
Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two Wheeler,12,28544,3,2453,12405,25324,2147,100,37576,8406,78510,889,7445,7412,1834,134966,61802,18,3,168074,74,89,36823,167,3,38347,8757,2451,59485,78422,256,5687,40628,11410,860522
Total,26,32965,21,60946,88213,38248,6414,161,74816,9527,88719,1167,30505,21127,9897,152945,75880,37,3,194795,115,399,67740,167,6,44564,25746,2638,93772,90348,6311,16795,278355,21444,1534812
