Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,0,1,0,15,0,0,0,0,2,0,49,50,2,0,39,0,5,1,0,183,0,0,40,0,0,0,0,0,0,0,0,1,40,78,506
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Four Wheeler,2,274,0,1,11,7,8,0,451,4,26,2,23,46,0,394,64,0,0,267,0,0,22,0,0,1,3,0,17,57,4,2,31,12,1729
Goods Vehicle,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,15,1,0,0,6,0,0,1,0,0,0,1,0,2,3,0,0,7,0,54
Public Service Vehicle,0,0,0,15,0,0,0,0,2,0,49,51,2,0,39,0,5,1,0,183,0,0,40,0,0,0,0,0,0,1,0,1,40,78,507
Special Category Vehicles,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Three Wheeler,0,174,0,10745,11653,1824,479,12,21707,7,356,0,3902,1645,0,163,142,0,0,1133,3,204,2000,0,0,323,456,1,4609,0,1435,5322,51995,13181,133471
Tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Trailer,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Two Wheeler,0,1376,1,98,714,913,20,7,1060,31,504,1,1163,235,36,5566,291,0,0,5727,10,47,1276,1,29,835,501,80,2008,3389,20,492,3712,262,30405
Total,2,1825,1,10874,12380,2744,507,19,23223,42,996,104,5109,1932,114,6138,508,2,0,7499,13,251,3380,1,29,1160,961,81,6636,3450,1459,5818,55825,13611,166694
