Vehicle Category Group,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Ambulance/Hearses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus,2,13,0,28,0,71,0,0,189,2,35,0,27,13,0,388,1,0,0,279,0,0,54,0,0,103,0,0,13,0,18,0,11,33,53,1333
Construction Equipment Vehicle,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,104
Four Wheeler,13,1413,49,226,448,1123,801,112,6131,558,4130,359,4432,371,211,8192,7112,1,0,11255,40,37,1762,12,22,1339,1988,192,3199,9,5412,14,420,7801,2098,71282
Goods Vehicle,0,44,0,18,26,25,6,2,149,6,57,6,61,25,6,173,104,0,0,388,2,0,70,0,1,145,41,4,124,0,342,6,3,88,67,1989
Public Service Vehicle,2,0,0,28,0,0,0,0,189,2,30,0,26,0,0,309,5,0,0,279,0,0,0,0,0,75,0,0,16,0,17,0,10,26,0,1014
Special Category Vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Three Wheeler,0,1173,0,16805,22194,3398,637,7,19363,12,1415,102,4457,4112,2252,3532,1285,0,1,4689,61,136,8225,0,0,1661,4275,126,5666,0,3660,2814,2535,73840,9008,197441
Tractor,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Trailer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Two Wheeler,16,11859,11,850,6791,8625,399,54,7030,2332,13976,317,3646,3013,550,46416,22013,0,4,67233,55,31,24478,262,3,16020,7792,1112,20575,1,37576,123,1576,30404,7162,342305
Total,33,14503,60,17955,29460,13242,1843,175,33051,2913,19648,784,12649,7534,3019,59011,30520,1,5,84131,158,204,34589,274,26,19343,14097,1434,29594,10,47026,2957,4556,112284,18388,615477
