Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,1,3,0,18,3,2,0,0,3,0,22,52
BHARAT STAGE II,0,1,5,133,49,1,7,0,2,0,63,261
BHARAT STAGE III,7,64,206,873,571,59,129,1,609,6,154,2679
BHARAT STAGE III/IV,0,6,2,32,13,0,1,0,2,0,7,63
BHARAT STAGE IV,4,213,193,2284,1297,175,71,95,85,0,1341,5758
BHARAT STAGE IV/VI,0,0,1,6,3,1,0,0,1,0,7,19
BHARAT STAGE VI,12162,79893,15388,3761057,835246,77596,2016,521190,151,1618,16235524,21541841
Bharat Trem Stage III,0,0,117,0,0,0,651,0,178,0,0,946
Bharat Trem Stage III A,0,0,649,0,16,0,8512,0,851991,2,0,861170
Bharat Trem Stage III B,0,0,1,0,0,0,0,0,6,0,0,7
Bharat Stage III CEV,0,0,23394,0,2,0,5401,0,110,0,0,28907
CEV STAGE IV,0,0,34462,0,1,0,3168,0,3,0,0,37634
CEV STAGE V,0,0,1161,0,0,0,1,0,0,0,0,1162
EURO 1,0,0,0,6,0,0,0,0,1,0,0,7
EURO 2,0,0,0,112,0,0,0,0,1,0,3,116
EURO 3,0,0,0,176,5,0,1,0,0,0,4,186
EURO 4,0,0,0,13,1,0,0,0,1,0,3,18
EURO 6,0,15,30,15,8,15,542,0,0,1,5,631
EURO 6A,0,0,1,1,0,0,2,0,0,0,0,4
EURO 6D,0,0,2,2,0,0,0,0,0,0,0,4
Not Applicable,0,2,2,7,0,2,3,0,1,0,7,24
Not Available,0,2679,10,82696,2662,2696,12,584081,7555,57968,860434,1600793
TREM STAGE IV,0,0,232,0,1,0,2164,0,7007,0,0,9404
TREM STAGE V,0,0,1,0,0,0,159,0,7,0,0,167
Total,12174,82876,75857,3847431,839878,80547,22840,1105367,867714,59595,17097574,24091853
