Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,0,0,0,5,1,0,0,0,0,0,12,18
BHARAT STAGE II,0,1,1,150,4,0,1,0,1,1,98,257
BHARAT STAGE III,0,3,4,249,90,3,11,0,0,1,60,421
BHARAT STAGE III/IV,0,1,0,73,14,1,1,0,0,0,0,90
BHARAT STAGE IV,0,12,9,223,28,12,3,4,1,0,64,356
BHARAT STAGE IV/VI,0,0,0,3,0,0,0,0,0,0,0,3
BHARAT STAGE VI,6783,37054,4769,1457132,294681,35450,1102,165225,36,423,5720166,7722821
Bharat Trem Stage III,0,0,3,0,0,0,9,0,29,0,0,41
Bharat Trem Stage III A,0,0,49,0,9,0,53,0,280988,0,0,281099
Bharat Trem Stage III B,0,0,0,0,0,0,0,0,5,0,0,5
Bharat Stage III CEV,0,0,7312,0,0,0,2254,0,18,0,0,9584
CEV STAGE IV,0,0,9680,0,0,0,1242,0,14,0,0,10936
CEV STAGE V,0,0,8835,0,0,0,251,0,0,0,0,9086
EURO 1,0,0,0,3,0,0,0,0,0,0,0,3
EURO 2,0,0,0,15,0,0,0,0,0,0,0,15
EURO 3,0,0,0,30,0,0,0,0,0,0,0,30
EURO 4,0,0,0,5,0,0,0,0,0,0,0,5
EURO 6,1,0,12,9,2,0,274,0,0,1,0,299
EURO 6B,0,0,0,1,0,0,0,0,0,0,0,1
Not Applicable,0,0,0,2,0,0,0,0,0,0,0,2
Not Available,0,1244,103,48217,2377,1250,4,235246,1127,20738,399288,709594
TREM STAGE IV,0,0,50,0,0,0,6561,0,6329,0,0,12940
TREM STAGE V,0,0,0,0,0,0,74,0,2,0,0,76
Total,6784,38315,30827,1506117,297206,36716,11840,400475,288550,21164,6119688,8757682
