Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,17,535,404,14425,11759,404,84,2334,3389,191,49287,82829
BHARAT STAGE II,49,2339,652,19492,8914,947,364,4684,11528,2336,875734,927039
BHARAT STAGE III,2163,46256,10415,452545,212991,26158,4020,242394,143050,24908,6694750,7859650
BHARAT STAGE III/IV,14,71,33,1290,622,68,9,223,134,52,1688,4204
BHARAT STAGE IV,699,16492,2154,688371,67677,10492,505,11270,53085,9787,28456,888988
BHARAT STAGE IV/VI,0,0,0,23,6,0,0,0,2,0,3,34
BHARAT STAGE VI,6,13,1,218,100,12,0,29,5,1,301,686
Bharat Trem Stage III,3,56,22,873,328,55,21,124,868,8,3970,6328
Bharat Trem Stage III A,38,203,92,1412,1545,202,207,1305,56729,11,26297,88041
Bharat Trem Stage III B,1,20,0,155,109,12,0,62,118,3,170,650
Bharat Stage III CEV,1,1,473,21,101,1,45,23,75,2,9,752
CEV STAGE IV,0,0,7,8,1,0,0,0,0,0,1,17
EURO 1,36,411,137,7946,3107,396,49,2855,10989,444,284615,310985
EURO 2,1100,5116,1646,75493,33412,5000,272,30763,49119,659,1036290,1238870
EURO 3,527,4836,1604,172409,44319,4163,638,46056,25990,3062,842427,1146031
EURO 4,637,9230,660,321653,23891,2337,284,10111,8141,621,134417,511982
EURO 6,0,0,0,1,0,0,0,0,0,0,0,1
Not Applicable,0,0,1,2,13,0,0,0,9,0,1,26
Not Available,1479,26268,7716,946105,172645,22333,5115,103992,99053,60163,5236481,6681350
TREM STAGE IV,0,10,1,376,15,6,3,7,12,2,215,647
TREM STAGE V,0,0,0,4,1,0,0,1,1,0,1,8
Total,6770,111857,26018,2702822,581556,72586,11616,456233,462297,102250,15215113,19749118
