Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,10,252,101,9298,1113,73,55,325,1335,388,14849,27799
BHARAT STAGE II,14,713,291,7869,3236,383,108,1845,8063,936,545363,568821
BHARAT STAGE III,2447,27461,19410,202194,146006,18875,4500,106114,87843,13856,3181841,3810547
BHARAT STAGE III/IV,11,133,67,1002,968,131,31,450,266,264,2135,5458
BHARAT STAGE IV,3853,55065,8728,1856384,315241,34675,2321,257777,80102,15503,8500817,11130466
BHARAT STAGE IV/VI,0,0,3,43,13,0,0,1,2,0,14,76
BHARAT STAGE VI,1,14,1,279,229,9,1,36,4,0,242,816
Bharat Trem Stage III,1,51,42,826,222,51,60,634,983,143,1696,4709
Bharat Trem Stage III A,3,87,502,228,737,84,350,1178,217602,569,2619,223959
Bharat Trem Stage III B,0,22,2,77,18,15,0,7,111,4,40,296
Bharat Stage III CEV,0,6,525,8,45,6,88,19,102,0,10,809
CEV STAGE IV,0,0,6,1,5,0,2,1,0,0,6,21
EURO 1,13,163,175,2832,1759,159,58,2311,10996,178,112055,130699
EURO 2,179,3222,1182,43499,16803,3182,212,11021,52057,342,359988,491687
EURO 3,494,5478,1127,184124,40374,5235,412,30334,23625,553,1414670,1706426
EURO 4,142,2546,636,129309,14295,1218,286,11055,6205,407,227250,393349
EURO 6,0,0,0,1,0,0,1,0,0,0,0,2
EURO 6A,0,0,1,0,0,0,0,0,0,0,0,1
Not Applicable,0,0,0,2,23,0,1,1,7,2,1,37
Not Available,959,17935,8328,710453,134981,15550,3571,147042,76764,64020,3713653,4893256
TREM STAGE IV,0,29,5,711,173,28,1,48,43,14,1331,2383
TREM STAGE V,0,1,0,4,1,1,0,1,1,1,4,14
Total,8127,113178,41132,3149144,676242,79675,12058,570200,566111,97180,18078584,23391631
