Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,26,867,250,13191,6270,701,168,3710,4108,452,28644,58387
BHARAT STAGE II,733,30091,4804,245020,109660,15004,2699,81966,49655,7712,2494043,3041387
BHARAT STAGE III,1068,27513,4628,420078,118101,16099,2874,102397,70250,14325,2222740,3000073
BHARAT STAGE III/IV,4,25,24,2562,181,23,15,32,271,81,2664,5882
BHARAT STAGE IV,289,9308,984,292361,45314,7436,381,4684,17354,4141,83398,465650
BHARAT STAGE IV/VI,0,0,0,164,1,0,0,1,2,0,13,181
BHARAT STAGE VI,2,11,0,856,50,10,2,22,17,7,1283,2260
Bharat Trem Stage III,6,91,27,2960,803,80,20,988,43386,9,2869,51239
Bharat Trem Stage III A,173,1778,360,15385,12568,1752,100,10178,18839,70,162798,224001
Bharat Trem Stage III B,1,18,2,74,93,11,0,11,33,3,63,309
Bharat Stage III CEV,1,2,320,70,44,3,39,14,165,15,91,764
CEV STAGE IV,0,0,8,0,0,0,0,0,1,0,0,9
CEV STAGE V,0,0,1,0,0,0,0,0,0,0,1,2
EURO 1,43,416,157,19955,4299,405,68,2771,3697,172,64937,96920
EURO 2,246,3658,798,73372,37599,3152,550,25449,24663,485,532513,702485
EURO 3,319,3200,634,139981,15384,1753,445,18647,4328,292,309993,494976
EURO 4,261,4103,96,158356,5122,1051,85,504,794,35,21356,191763
EURO 6,0,0,0,6,0,0,0,1,3,0,22,32
EURO 6A,0,0,0,1,3,0,0,0,3,0,0,7
EURO 6D,0,0,0,1,0,0,0,0,1,0,1,3
Not Applicable,0,6,1,3,10,6,1,0,2,2,2,33
Not Available,1269,27867,11054,872247,219579,24596,7192,156454,102462,45982,3842708,5311410
TREM STAGE IV,1,19,1,150,12,13,1,1,32,1,21,252
TREM STAGE V,0,0,0,5,1,0,0,0,3,1,1,11
Total,4442,108973,24149,2256798,575094,72095,14640,407830,340069,73785,9770161,13648036
