Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,17,488,309,13601,8875,314,78,1395,2568,126,39463,67234
BHARAT STAGE II,56,2118,484,20023,8346,937,266,5264,10364,1782,1049144,1098784
BHARAT STAGE III,2486,46488,13749,459645,221953,28387,4490,261898,141216,25886,7457073,8663271
BHARAT STAGE III/IV,4,117,41,2113,1062,117,15,1496,153,56,1880,7054
BHARAT STAGE IV,1048,19581,3242,801795,86211,13527,867,22799,61651,9970,58783,1079474
BHARAT STAGE IV/VI,0,0,0,44,10,2,0,0,1,0,4,61
BHARAT STAGE VI,6,12,3,306,184,9,0,51,2,1,242,816
Bharat Trem Stage III,8,140,21,772,490,142,16,231,1067,10,4515,7412
Bharat Trem Stage III A,17,195,61,1425,1167,193,331,1973,64742,11,11554,81669
Bharat Trem Stage III B,0,31,1,132,90,17,0,27,149,1,80,528
Bharat Stage III CEV,0,4,567,17,66,4,68,37,87,0,4,854
CEV STAGE IV,0,0,7,6,0,0,0,0,0,0,5,18
CEV STAGE V,0,0,1,0,0,0,0,0,0,0,0,1
EURO 1,20,384,249,8552,3661,360,37,4367,12999,627,331671,362927
EURO 2,550,6033,1632,85364,33827,5898,336,36924,49571,778,1003635,1224548
EURO 3,461,5778,1830,182518,45230,5162,713,44595,34792,2593,799352,1123024
EURO 4,710,9139,933,294190,21155,2581,456,10568,9530,822,158994,509078
EURO 6,0,0,0,0,4,0,0,0,0,0,1,5
EURO 6D,0,0,0,0,0,0,0,0,0,0,1,1
Not Applicable,0,3,0,3,14,3,0,0,3,0,1,27
Not Available,1499,27524,10210,1015545,190307,23173,5333,157017,102080,73227,5580939,7186854
TREM STAGE IV,1,15,0,469,34,11,2,6,13,1,176,728
TREM STAGE V,0,1,0,5,5,1,0,0,1,0,3,16
Total,6883,118051,33340,2886525,622691,80838,13008,548648,490989,115891,16497520,21414384
