Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,0,7,0,105,9,1,3,3,11,0,95,234
BHARAT STAGE II,0,14,14,349,171,5,11,5,6,0,140,715
BHARAT STAGE III,5,132,865,1220,1207,111,1309,22,85778,14,998,91661
BHARAT STAGE III/IV,0,9,2,39,31,2,6,0,3,2,2,96
BHARAT STAGE IV,13,290,950,3639,1924,215,231,268,5099,197,5183,18009
BHARAT STAGE IV/VI,0,4,0,10,13,4,2,2,2,0,5,42
BHARAT STAGE VI,12088,45034,13941,3430638,796374,43768,1802,332881,2899,2763,14960727,19642915
Bharat Trem Stage III,0,0,47,0,0,0,1477,0,297,0,0,1821
Bharat Trem Stage III A,0,0,1008,0,25,0,6632,0,697695,0,0,705360
Bharat Trem Stage III B,0,0,0,0,0,0,1,0,4,0,0,5
Bharat Stage III CEV,0,0,16190,0,1,0,5354,0,474,0,0,22019
CEV STAGE IV,0,0,24533,0,1,0,2047,0,50,0,0,26631
CEV STAGE V,0,0,1095,0,0,0,2,0,2,0,2,1101
EURO 1,0,0,2,20,1,0,0,0,0,0,5,28
EURO 2,0,2,0,189,5,1,1,0,0,0,9,207
EURO 3,0,1,1,286,9,1,0,0,1,0,4,303
EURO 4,0,1,0,20,0,0,0,0,0,0,3,24
EURO 6,1,0,1,13,7,0,33,0,0,1,1,57
EURO 6A,0,0,0,3,10,0,0,0,1,2,1,17
EURO 6B,0,0,0,2,0,0,0,0,0,0,0,2
EURO 6D,0,0,0,5,0,0,1,0,0,1,0,7
Not Applicable,0,1,0,2,2,1,1,0,3,1,4,15
Not Available,0,1998,25,38362,456,1997,34,350742,3889,69704,631392,1098599
TREM STAGE IV,0,0,12,0,0,0,80,0,714,0,0,806
TREM STAGE V,0,0,2,0,0,0,17,0,0,0,0,19
Total,12107,47493,58688,3474902,800246,46106,19044,683923,796928,72685,15598571,21610693
