Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,27,679,528,14278,10209,588,168,3935,6211,489,26012,63124
BHARAT STAGE II,241,6285,3017,47596,23656,3328,1342,10814,27735,3517,915715,1043246
BHARAT STAGE III,1785,45858,10492,419750,212190,23875,4612,187716,111255,21442,4469098,5508073
BHARAT STAGE III/IV,2,40,44,1820,251,37,14,35,177,80,2344,4844
BHARAT STAGE IV,466,14095,2210,540492,66460,10588,892,3571,37438,6936,74765,757913
BHARAT STAGE IV/VI,0,0,2,106,2,0,0,0,3,0,18,131
BHARAT STAGE VI,2,14,4,808,63,13,1,31,17,5,741,1699
Bharat Trem Stage III,5,82,24,833,495,66,26,213,43354,12,3559,48669
Bharat Trem Stage III A,36,555,386,6631,3586,553,89,3989,25170,40,51272,92307
Bharat Trem Stage III B,0,11,2,78,57,6,2,18,39,0,42,255
Bharat Stage III CEV,2,5,449,27,55,5,57,21,160,3,24,808
CEV STAGE IV,0,0,17,5,0,0,1,0,0,0,1,24
EURO 1,41,524,269,11796,5869,466,59,4485,5393,587,116667,146156
EURO 2,295,4005,1075,62051,31944,3546,220,32556,35513,419,667299,838923
EURO 3,456,4800,1441,129799,46624,3578,1059,46740,11972,761,739507,986737
EURO 4,749,6730,187,288178,11762,1899,134,1379,1338,49,45162,357567
EURO 6,0,0,1,2,2,0,0,2,2,1,4,14
EURO 6A,0,1,0,0,2,1,0,0,0,0,0,4
EURO 6D,0,0,0,1,0,0,0,0,0,0,1,2
Not Applicable,0,1,0,2,6,0,0,0,9,4,1,23
Not Available,1522,26657,13740,930122,253482,23095,8343,146417,114507,58471,4704418,6280774
TREM STAGE IV,2,17,2,214,13,10,0,1,19,0,22,300
TREM STAGE V,0,0,0,3,1,0,0,0,0,0,0,4
Total,5631,110359,33890,2454592,666729,71654,17019,441923,420312,92816,11816672,16131597
