Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,1,9,13,871,39,4,20,27,136,3,337,1460
BHARAT STAGE II,1,34,36,644,96,7,59,12,182,8,304,1383
BHARAT STAGE III,24,515,3334,3521,2042,464,2928,1303,89831,325,21502,125789
BHARAT STAGE III/IV,1,56,108,644,304,57,164,75,367,2062,424,4262
BHARAT STAGE IV,9669,95801,17434,2571334,766614,79643,4781,631681,53598,18523,18364805,22613883
BHARAT STAGE IV/VI,1,23,3,300266,13,5,2,2,1,124,47,300487
BHARAT STAGE VI,7,320,27,61485,588,278,22,595,741,35,39581,103679
Bharat Trem Stage III,0,3,45,11,178,3,1871,10,702,232,50,3105
Bharat Trem Stage III A,0,1,812,21,179,1,1183,13,496129,1185,12,499536
Bharat Trem Stage III B,0,0,2,1,1,0,1,0,7,2,0,14
Bharat Stage III CEV,2,19,37500,454,3864,19,5900,45,605,1759,239,50406
CEV STAGE IV,0,0,19,1,3,0,7,1,0,0,2,33
EURO 1,0,0,4,41,1,0,1,0,23,0,26,96
EURO 2,0,3,0,63,2,3,0,0,8,0,33,112
EURO 3,1,9,5,95,18,9,5,12,43,0,96,293
EURO 4,0,4,31,442,30,4,64,11,47,23,797,1453
EURO 6,0,1,2,107,4,1,2,0,3,0,1,121
EURO 6A,0,0,0,0,4,0,1,0,0,0,0,5
EURO 6B,0,0,0,5,1,0,0,0,0,0,0,6
EURO 6C,0,0,0,0,0,0,0,0,1,0,0,1
EURO 6D,0,0,0,69,0,0,0,0,0,1,0,70
Not Applicable,0,2,6,4,14,2,0,0,4,0,1,33
Not Available,494,2034,1639,75932,18972,2042,463,139035,2609,56956,228280,528456
TREM STAGE IV,0,3,8,37,44,3,23,6,34,206,35,399
TREM STAGE V,0,1,1,7,0,1,1,1,5,5,3,25
Total,10201,98838,61029,3016055,793011,82546,17498,772829,645076,81449,18656575,24235107
