Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,42,802,427,14961,9480,705,134,2136,5140,346,22567,56740
BHARAT STAGE II,120,2483,1424,22537,14538,1380,558,5293,16770,1684,722065,788852
BHARAT STAGE III,1753,55102,11925,470096,225105,29246,4379,209134,131706,23340,5031273,6193059
BHARAT STAGE III/IV,6,64,29,953,397,59,6,89,133,35,1029,2800
BHARAT STAGE IV,713,16801,2160,628344,69820,11284,661,3597,45718,7549,67545,854192
BHARAT STAGE IV/VI,0,1,0,62,2,1,0,0,0,0,3,69
BHARAT STAGE VI,2,13,7,446,61,7,1,26,10,5,428,1006
Bharat Trem Stage III,11,69,30,906,530,46,18,245,11329,12,2941,16137
Bharat Trem Stage III A,80,305,159,4281,2511,302,61,1765,67734,34,43846,121078
Bharat Trem Stage III B,2,17,2,115,51,9,0,16,36,1,60,309
Bharat Stage III CEV,1,9,473,33,56,8,54,14,149,2,16,815
CEV STAGE IV,0,1,12,8,0,0,0,0,0,0,0,21
EURO 1,48,500,295,8905,7094,458,54,4992,6231,254,159382,188213
EURO 2,899,4656,1215,60206,42343,4031,164,36479,38911,369,752991,942264
EURO 3,425,6194,1796,151104,54185,4307,1252,57120,16294,3217,796714,1092608
EURO 4,614,8016,192,306064,14333,2885,200,2563,1500,62,50780,387209
EURO 6,0,0,0,1,0,0,0,1,1,1,2,6
EURO 6A,0,0,0,1,0,0,0,0,0,0,1,2
EURO 6D,0,0,0,3,0,0,0,0,0,0,0,3
Not Applicable,0,3,2,5,10,1,1,0,5,1,1,29
Not Available,1982,30621,12262,1029757,266382,26632,6757,147435,118562,51096,5294631,6986117
TREM STAGE IV,0,22,1,270,14,9,2,5,13,0,20,356
TREM STAGE V,0,2,0,3,1,1,1,0,1,0,1,10
Total,6698,125681,32411,2699061,706913,81371,14303,470910,460243,88008,12946296,17631895
