Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,1,10,1,361,18,0,5,2,48,2,155,603
BHARAT STAGE II,2,30,13,373,109,3,31,0,55,7,149,772
BHARAT STAGE III,9,286,2574,1830,1024,244,2085,344,102725,121,7584,118826
BHARAT STAGE III/IV,0,24,35,216,82,24,42,9,110,656,144,1342
BHARAT STAGE IV,3216,40066,9195,492660,263961,37849,2114,208122,40602,8922,5195605,6302312
BHARAT STAGE IV/VI,1,17,5,219010,13,15,0,0,6,8,2195,221270
BHARAT STAGE VI,4317,5425,4040,1756292,229908,2564,530,110297,2806,2310,9077305,11195794
Bharat Trem Stage III,0,2,127,3,82,2,3186,1,564,50,25,4042
Bharat Trem Stage III A,0,0,802,3,35,0,1948,2,576638,396,7,579831
Bharat Trem Stage III B,0,0,2,0,0,0,1,0,9,1,0,13
Bharat Stage III CEV,0,2,38291,20,1150,2,5990,11,840,473,31,46810
CEV STAGE IV,0,0,8,2,0,0,11,0,1,0,11,33
EURO 6AD,0,0,0,1,0,0,1,0,0,0,0,2
EURO 1,0,2,0,18,1,2,1,0,2,0,10,36
EURO 2,0,0,0,90,3,0,0,0,5,0,25,123
EURO 3,0,0,5,59,2,0,0,5,31,0,63,165
EURO 4,1,3,23,169,22,3,15,18,19,18,834,1125
EURO 6,0,1,7,256,14,3,39,2,34,13,98,467
EURO 6A,0,0,0,3,1,0,0,0,0,1,0,5
EURO 6B,0,0,0,5,0,0,0,0,1,0,0,6
EURO 6C,0,0,0,1,1,0,1,0,0,0,0,3
EURO 6D,0,0,0,71,0,0,0,0,1,1,0,73
Not Applicable,0,0,3,0,2,0,0,0,4,0,2,11
Not Available,13,126,52,4799,608,119,75,87686,3570,63702,28888,189638
TREM STAGE IV,0,1,14,8,3,2,12,2,19,79,12,152
TREM STAGE V,0,0,0,2,0,0,2,0,0,0,1,5
Total,7560,45995,55197,2476252,497039,40832,16089,406501,728090,76760,14313144,18663459
