Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,14,402,383,13816,8044,276,81,1787,5073,204,37356,67436
BHARAT STAGE II,90,2336,1014,18455,8240,908,384,4501,13728,2649,780911,833216
BHARAT STAGE III,2521,46897,10837,440213,201644,24186,3861,248883,166596,28169,6477920,7651727
BHARAT STAGE III/IV,5,53,39,1016,399,53,8,249,104,17,1395,3338
BHARAT STAGE IV,600,16256,1881,636029,59707,9614,494,15130,65773,7252,20086,832822
BHARAT STAGE IV/VI,0,1,0,21,2,1,0,0,1,0,2,28
BHARAT STAGE VI,2,10,3,260,107,8,1,43,6,0,306,746
Bharat Trem Stage III,7,42,22,733,433,39,19,182,1443,8,4266,7194
Bharat Trem Stage III A,147,215,119,1776,2177,214,59,1527,89696,16,22233,118179
Bharat Trem Stage III B,1,18,3,137,88,9,0,28,65,0,88,437
Bharat Stage III CEV,0,7,483,23,48,7,35,51,118,2,7,781
CEV STAGE IV,0,0,8,6,2,0,0,0,0,0,3,19
EURO 1,48,395,190,8551,3030,375,68,2364,10782,319,268149,294271
EURO 2,1027,4209,1489,53432,32823,4017,217,29442,55606,320,1037209,1219791
EURO 3,519,4255,1296,154227,46181,3603,693,48529,45781,3086,880634,1188804
EURO 4,696,8745,233,302388,18063,2182,134,4041,9428,514,98328,444752
EURO 6,0,0,0,1,1,0,0,1,0,0,1,4
EURO 6A,0,0,0,0,0,0,0,0,0,0,1,1
Not Applicable,0,0,0,2,13,0,0,0,8,0,1,24
Not Available,2203,22178,7082,918924,164751,18596,5535,119523,122448,62876,5256418,6700534
TREM STAGE IV,1,21,0,288,17,8,1,2,10,1,110,459
TREM STAGE V,0,0,1,5,2,0,0,0,2,0,2,12
Total,7881,106040,25083,2550303,545772,64096,11590,476283,586668,105433,14885426,19364575
