Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,54,947,275,13510,5191,683,135,7005,3839,422,61791,93852
BHARAT STAGE II,1133,37323,3761,408160,112180,17500,2855,141082,67383,14230,3416996,4222603
BHARAT STAGE III,760,16205,2278,367715,62364,11397,1296,11173,27773,4052,207110,712123
BHARAT STAGE III/IV,0,23,22,2034,111,23,17,42,212,45,2181,4710
BHARAT STAGE IV,68,967,170,29446,6032,871,57,5632,4385,56,74763,122447
BHARAT STAGE IV/VI,0,1,2,160,4,1,0,2,2,0,22,194
BHARAT STAGE VI,2,4,2,1067,35,3,1,40,11,7,2425,3597
Bharat Trem Stage III,18,261,22,6311,1360,237,32,3427,31314,21,18137,61140
Bharat Trem Stage III A,72,1192,182,15541,8721,1180,86,8887,14118,74,92782,142835
Bharat Trem Stage III B,1,10,2,56,69,7,0,8,22,0,32,207
Bharat Stage III CEV,1,2,240,88,35,1,31,9,106,9,124,646
CEV STAGE IV,0,0,5,1,0,0,0,0,0,0,1,7
EURO 1,37,336,118,21262,2332,321,45,1719,3393,400,22755,52718
EURO 2,127,3228,668,68093,21500,2958,277,13602,13841,463,350548,475305
EURO 3,207,4277,379,116458,7281,1515,333,4747,3671,299,34954,174121
EURO 4,39,691,53,11489,1158,243,26,285,483,15,1980,16462
EURO 6,0,0,0,17,0,0,0,0,8,0,39,64
EURO 6A,0,0,0,1,0,0,0,0,0,0,2,3
EURO 6C,0,0,0,0,0,0,0,0,0,1,0,1
EURO 6D,0,0,0,1,0,0,0,0,0,0,1,2
Not Applicable,0,2,0,4,14,3,0,0,3,5,3,34
Not Available,1090,22591,7406,678517,151999,19680,6821,107163,82412,39335,2717016,3834030
TREM STAGE IV,0,0,0,27,4,0,0,1,19,1,6,58
TREM STAGE V,0,0,0,1,1,0,0,0,0,0,0,2
Total,3609,88060,15585,1739959,380391,56623,12012,304824,252995,59435,7003668,9917161
