Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,0,18,3,234,20,0,3,1,36,0,155,470
BHARAT STAGE II,1,13,2,233,84,0,6,0,23,1,99,462
BHARAT STAGE III,3,70,1956,1158,545,58,2780,5,101989,69,469,109102
BHARAT STAGE III/IV,0,0,7,127,67,0,7,0,13,0,30,251
BHARAT STAGE IV,21,597,917,6426,2278,462,314,5583,12713,1248,17225,47784
BHARAT STAGE IV/VI,0,8,13,16,17,8,1,1,1,0,11,76
BHARAT STAGE VI,13070,17280,11348,2981150,591381,13377,10683,238402,4255,3078,13763500,17647524
Bharat Trem Stage III,0,0,331,0,0,0,3754,0,296,0,0,4381
Bharat Trem Stage III A,0,0,1043,1,22,0,2297,0,646397,0,0,649760
Bharat Trem Stage III B,0,0,0,0,0,0,3,0,3,0,0,6
Bharat Stage III CEV,0,0,36752,2,11,0,9526,0,632,0,0,46923
CEV STAGE IV,0,0,8374,0,1,0,548,0,2,0,0,8925
CEV STAGE V,0,0,220,1,0,0,0,0,0,0,0,221
EURO 1,0,0,1,9,1,0,0,0,1,0,3,15
EURO 2,0,0,0,86,4,0,0,0,1,0,12,103
EURO 3,0,0,0,128,3,0,0,0,2,0,1,134
EURO 4,0,0,2,23,0,0,1,0,10,0,15,51
EURO 6,0,1,11,63,14,2,23,3,11,3,26,157
EURO 6A,0,0,0,0,2,0,0,2,4,10,0,18
EURO 6B,0,0,0,1,0,0,0,0,0,0,0,1
EURO 6C,0,0,0,0,1,0,0,1,0,0,0,2
EURO 6D,0,0,0,8,0,0,0,0,0,1,0,9
Not Applicable,0,1,6,2,8,1,0,0,6,0,0,24
Not Available,1,1178,16,13365,1149,1175,30,153740,1212,70514,153135,395515
TREM STAGE IV,0,0,14,0,0,0,11,0,23,0,0,48
Total,13096,19166,61016,3003033,595608,15083,29987,397738,767630,74924,13934681,18911962
