Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,0,0,0,16,3,0,0,0,0,0,54,73
BHARAT STAGE II,0,0,3,111,17,0,4,0,3,1,261,400
BHARAT STAGE III,0,31,45,933,413,26,36,0,61,4,492,2041
BHARAT STAGE III/IV,0,0,0,82,12,0,5,0,0,0,0,99
BHARAT STAGE IV,0,97,54,1652,681,68,34,26,35,3,427,3077
BHARAT STAGE IV/VI,0,2,0,15,2,2,0,0,0,0,3,24
BHARAT STAGE VI,11568,102585,14244,3963745,804914,99859,2663,530368,56,1229,17789867,23321098
Bharat Trem Stage III,0,0,22,1,0,0,39,0,135,0,0,197
Bharat Trem Stage III A,0,0,334,1,21,0,210,0,865263,0,0,865829
Bharat Trem Stage III B,0,0,0,0,0,0,0,0,6,0,0,6
Bharat Stage III CEV,0,0,24950,0,0,0,5838,0,43,0,0,30831
CEV STAGE IV,0,0,40942,0,6,0,4076,0,72,0,0,45096
CEV STAGE V,0,0,1739,0,0,0,14,0,1,0,0,1754
EURO 1,0,0,0,1,0,0,0,0,0,0,1,2
EURO 2,0,0,0,41,0,0,0,0,0,0,3,44
EURO 3,0,0,0,169,6,0,0,0,0,0,1,176
EURO 4,0,0,0,2,0,0,0,0,1,0,4,7
EURO 6,0,2,96,43,3,1,338,0,0,1,2,486
EURO 6C,0,0,0,0,1,0,3,0,0,0,0,4
EURO 6D,0,0,1,0,0,0,0,0,0,0,0,1
Not Applicable,0,5,0,1,3,5,0,0,0,0,4,18
Not Available,0,3739,7,99835,6312,3892,29,691420,4575,58055,1149502,2017366
TREM STAGE IV,0,0,308,0,0,0,10598,1,16836,0,0,27743
TREM STAGE V,0,0,0,0,0,0,403,0,35,0,0,438
Total,11568,106461,82745,4066648,812394,103853,24290,1221815,887122,59293,18940621,26316810
