Norms,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
BHARAT STAGE I,0,40,19,2066,182,19,24,43,317,1303,1508,5521
BHARAT STAGE II,0,80,99,801,507,64,24,171,1840,1584,18457,23627
BHARAT STAGE III,82,1968,22709,9399,10046,1440,3669,7640,53536,7259,119227,236975
BHARAT STAGE III/IV,2,61,96,516,522,58,66,133,306,2939,430,5129
BHARAT STAGE IV,5531,94545,19713,2788849,768162,69647,3805,600166,66297,22142,17523232,21962089
BHARAT STAGE IV/VI,0,4,1,562,9,4,2,2,1,65,7,657
BHARAT STAGE VI,2,16,10,228,182,16,2,12,30,49,180,727
Bharat Trem Stage III,2,4,47,27,162,4,698,42,717,205,204,2112
Bharat Trem Stage III A,2,1,1052,22,356,3,675,5,508384,3057,30,513587
Bharat Trem Stage III B,0,0,2,1,2,0,0,0,10,0,12,27
Bharat Stage III CEV,0,4,12344,68,1484,4,1868,7,205,2155,179,18318
CEV STAGE IV,0,0,10,4,5,0,2,0,0,0,3,24
CEV STAGE V,0,0,1,0,0,0,0,0,0,0,1,2
EURO 6AD,0,0,0,0,1,0,0,0,0,0,0,1
EURO 1,0,4,8,65,22,1,4,36,792,6,485,1423
EURO 2,0,21,56,201,105,11,18,27,2819,19,597,3874
EURO 3,42,237,112,9648,4090,220,35,1856,1694,20,69938,87892
EURO 4,4,34,26,1565,758,33,15,328,102,37,6307,9209
EURO 6,0,9,1,16,7,6,0,1,1,16,4,61
EURO 6A,0,0,1,0,2,0,0,0,0,0,0,3
EURO 6D,0,1,1,4,0,0,0,0,0,0,0,6
Not Applicable,0,8,2,2,21,8,0,0,7,1,0,49
Not Available,372,9239,6632,403892,88464,8331,1467,160323,24606,72141,1849826,2625293
TREM STAGE IV,0,19,10,320,97,19,10,43,62,114,506,1200
TREM STAGE V,0,0,2,11,2,0,1,2,11,8,24,61
Total,6039,106295,62954,3218267,875188,79888,12385,770837,661737,113120,19591157,25497867
