Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,1,2992,3,6416,10330,2976,35,12463,3,3,2,35224
DIESEL,3128,94115,33735,1049483,649999,67849,16750,304262,417085,14449,3496,2654351
DIESEL/HYBRID,0,1,0,15,11,1,3,4,6,0,0,41
DUAL DIESEL/CNG,0,4,0,0,6,5,0,0,0,0,0,15
ELECTRIC BOV,0,3,5,631,35,0,23,72,38,253,5897,6957
ETHANOL,0,0,0,0,0,0,0,0,1,0,3,4
FUEL CELL HYDROGEN,0,0,0,0,0,0,0,0,0,0,1,1
LPG ONLY,0,14,1,404,26,2,0,6408,10,52,71,6988
NOT APPLICABLE,5,267,45,2891,1456,105,126,1560,2281,77734,8732,95202
PETROL,2351,6401,101,1121281,2518,251,75,43317,861,310,11794113,12971579
PETROL/CNG,52,566,0,187558,1958,370,2,47715,1,2,1321,239545
PETROL/ETHANOL,0,0,0,2,0,0,0,0,0,0,2,4
PETROL/HYBRID,0,0,0,3,0,0,0,0,0,0,0,3
PETROL/LPG,94,5992,0,85883,381,92,2,26114,22,11,2811,121402
SOLAR,0,4,0,25,9,3,3,8,4,2,223,281
Total,5631,110359,33890,2454592,666729,71654,17019,441923,420312,92816,11816672,16131597
