Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,6,3438,9,3952,8358,3429,18,10827,5,4,7,30053
DIESEL,4093,109857,32310,1469164,692059,76934,14092,330969,456261,15259,6468,3207466
DIESEL/HYBRID,0,2,0,23,12,1,1,0,7,0,0,46
DUAL DIESEL/CNG,0,1,0,0,3,1,0,0,0,0,0,5
ELECTRIC BOV,1,3,13,424,43,1,43,45,35,151,4731,5490
ETHANOL,0,0,0,0,0,0,0,0,0,0,5,5
FUEL CELL HYDROGEN,0,0,0,0,1,0,0,0,0,0,0,1
LNG,0,0,0,0,1,0,0,0,0,0,0,1
LPG ONLY,0,6,0,302,16,1,1,1128,14,93,52,1613
NOT APPLICABLE,5,134,37,3007,1436,38,99,1713,3065,72235,8809,90578
PETROL,2485,6369,41,986347,2631,317,48,29166,827,250,12923571,13952052
PETROL/CNG,40,804,0,159483,2068,585,0,63807,2,4,707,227500
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,3,3
PETROL/HYBRID,0,0,0,8,0,0,0,0,0,0,3,11
PETROL/LPG,68,5065,0,76331,280,63,1,33243,17,9,1821,116898
SOLAR,0,2,1,20,5,1,0,12,10,3,119,173
Total,6698,125681,32411,2699061,706913,81371,14303,470910,460243,88008,12946296,17631895
