Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,5,2490,2,2392,6981,2480,6,12232,2,1,12,26603
DIESEL,5424,88033,24883,1284084,530175,60618,11294,305962,582569,13970,3685,2910697
DIESEL/HYBRID,0,1,0,14,18,1,2,0,3,0,0,39
DUAL DIESEL/CNG,0,3,0,0,2,2,0,0,0,0,0,7
ELECTRIC BOV,0,3,3,486,30,3,33,19,32,93,1679,2381
ETHANOL,0,0,0,0,0,0,0,0,0,0,7,7
LNG,0,0,0,0,2,0,0,0,0,0,0,2
LPG ONLY,0,4,0,110,2,1,0,1448,2,27,91,1685
NOT APPLICABLE,5,116,161,1734,908,53,225,1462,3388,91140,16223,115415
PETROL,2317,8963,28,1060473,3317,370,28,28608,642,193,14861836,15966775
PETROL/CNG,60,748,0,157000,4278,505,2,90383,7,0,986,253969
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,6,6
PETROL/HYBRID,0,0,0,4,0,0,0,1,0,0,2,7
PETROL/LPG,70,5676,6,44001,50,61,0,36163,16,5,780,86828
SOLAR,0,3,0,5,9,2,0,5,7,4,119,154
Total,7881,106040,25083,2550303,545772,64096,11590,476283,586668,105433,14885426,19364575
