Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,3,3684,9,1594,34128,3638,22,105237,0,0,17367,165682
DIESEL,4907,32012,30707,278074,245907,30949,11774,46596,287394,415,1,968736
DIESEL/HYBRID,0,2,0,2051,1,0,0,0,0,0,0,2054
DUAL DIESEL/LNG,0,0,0,0,30,0,0,0,0,0,0,30
ELECTRIC BOV,0,361,97,14315,1557,363,0,185936,11,0,64348,266988
ETHANOL,0,0,0,0,0,0,0,0,0,0,611,611
FUEL CELL HYDROGEN,0,1,0,0,1,1,0,0,0,0,0,3
LNG,0,0,0,0,137,0,0,0,0,0,0,137
LPG ONLY,0,0,0,3,0,0,0,11215,0,0,0,11218
NOT APPLICABLE,0,0,4,1,20,0,5,25,1110,20739,0,21904
PETROL,1759,937,3,666882,12511,818,29,2119,30,8,5371255,6056351
PETROL/CNG,104,4,0,307217,2055,4,5,55,1,0,1,309446
PETROL/ETHANOL,0,57,0,73106,38,53,1,1,0,0,331164,404420
PETROL/HYBRID,11,0,0,91820,0,0,2,0,0,0,0,91833
PETROL/LPG,0,0,0,1163,8,0,0,6,0,0,0,1177
PLUG IN HYBRID EV,0,0,0,41,0,0,0,0,0,0,0,41
PURE EV,0,882,7,33906,813,886,1,49285,4,2,334941,420727
STRONG HYBRID EV,0,375,0,35944,0,4,1,0,0,0,0,36324
Total,6784,38315,30827,1506117,297206,36716,11840,400475,288550,21164,6119688,8757682
