Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,9,2978,16,297,17807,2978,13,22091,0,0,2,46191
DIESEL,5573,42331,55150,522851,455907,37737,16030,193922,723410,1839,227,2054977
DIESEL/HYBRID,0,4,1,2910,0,1,2,0,5,0,0,2923
DUAL DIESEL/BIO CNG,0,0,0,0,1,0,0,0,0,0,0,1
DUAL DIESEL/CNG,0,0,0,0,1,0,0,0,0,0,0,1
ELECTRIC BOV,0,88,2,4211,11,88,21,90358,3,2,29126,123910
ETHANOL,0,0,0,0,0,0,0,0,0,3,0,3
LNG,0,1,0,1,12,3,0,0,0,0,0,17
LPG ONLY,0,0,0,114,3,0,1,9795,0,0,0,9913
METHANOL,0,0,0,0,0,0,0,0,1,1,0,2
NOT APPLICABLE,0,1,18,499,208,0,17,72,4388,74894,130,80227
PETROL,1892,500,10,1657984,17706,23,5,11505,279,21,14283594,15973519
PETROL/CNG,76,8,0,186016,5273,1,0,49885,0,0,47,241306
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,4,4
PETROL/HYBRID,3,69,0,90035,0,0,0,0,0,0,1,90108
PETROL/LPG,7,15,0,11334,110,1,0,28873,4,0,13,40357
Total,7560,45995,55197,2476252,497039,40832,16089,406501,728090,76760,14313144,18663459
