Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,7,6815,0,5833,9589,6791,15,12891,2,0,5,41948
DIESEL,2608,88560,24014,844728,560159,64726,14292,260706,336312,11551,3211,2210867
DIESEL/HYBRID,1,3,2,28,12,2,3,1,6,0,1,59
DUAL DIESEL/CNG,0,2,0,0,3,2,0,0,0,0,0,7
ELECTRIC BOV,0,1,4,274,35,1,11,64,33,127,4068,4618
ETHANOL,0,0,0,1,0,0,0,0,0,0,4,5
FUEL CELL HYDROGEN,0,0,0,1,0,0,0,0,0,0,1,2
LNG,0,0,0,0,0,0,0,0,0,0,1,1
LPG ONLY,3,14,0,561,450,7,1,13207,19,35,76,14373
METHANOL,0,0,0,0,0,0,1,0,0,0,2,3
NOT APPLICABLE,3,254,62,3134,1440,61,213,1010,2577,61815,11488,82057
PETROL,1743,7196,64,1147057,2370,211,95,48104,1101,249,9747565,10955755
PETROL/CNG,21,372,0,164702,414,214,5,36691,1,0,1350,203770
PETROL/ETHANOL,0,0,0,1,0,0,0,0,0,0,9,10
PETROL/HYBRID,0,0,0,5,0,0,0,0,0,0,1,6
PETROL/LPG,56,5753,3,90457,611,76,1,35148,18,8,2259,134390
PETROL/METHANOL,0,0,0,1,0,0,0,0,0,0,0,1
SOLAR,0,3,0,15,11,4,3,8,0,0,120,164
Total,4442,108973,24149,2256798,575094,72095,14640,407830,340069,73785,9770161,13648036
