Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,4,3074,2,1327,7183,3063,28,15256,1,3,15,29956
DIESEL,2227,73687,15515,630211,368379,53089,11727,202147,249740,9109,3309,1619140
DIESEL/HYBRID,0,3,2,23,8,3,3,0,4,0,0,46
DUAL DIESEL/CNG,0,1,0,0,2,1,0,0,0,0,0,4
ELECTRIC BOV,0,4,1,337,11,0,7,45,16,62,6913,7396
ETHANOL,0,0,0,0,0,0,0,0,0,0,1,1
FUEL CELL HYDROGEN,0,0,0,1,0,0,0,0,0,0,0,1
LNG,0,0,0,1,0,0,0,1,0,0,0,2
LPG ONLY,7,9,0,898,1004,0,0,10669,10,21,86,12704
NOT APPLICABLE,3,204,22,3015,842,124,76,1379,2177,49957,9548,67347
PETROL,1310,5955,43,892910,1772,188,164,32210,1032,276,6981360,7917220
PETROL/CNG,15,222,0,118165,372,88,2,29456,3,0,859,149182
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,8,8
PETROL/HYBRID,0,0,0,9,0,0,0,0,0,0,2,11
PETROL/LPG,43,4900,0,93047,814,66,5,13655,10,7,1536,114083
SOLAR,0,1,0,15,4,1,0,6,2,0,31,60
Total,3609,88060,15585,1739959,380391,56623,12012,304824,252995,59435,7003668,9917161
