Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,9,5045,12,818,77036,5128,23,338241,0,4,0,426316
DIESEL,7043,71707,75823,689669,706627,70550,22708,133976,860047,1579,1,2639730
DIESEL/HYBRID,0,33,0,2461,2,1,0,0,0,0,0,2497
ELECTRIC BOV,0,2676,0,82609,2605,2693,17,583674,7,0,860520,1534801
LNG,0,0,0,0,244,0,0,0,0,0,0,244
LPG ONLY,0,0,0,6,0,0,0,26807,0,0,0,26813
NOT APPLICABLE,0,0,12,79,52,0,21,427,7561,57986,4,66142
PETROL,4888,2709,10,2202351,48665,2168,68,14188,99,24,15857183,18132353
PETROL/CNG,210,1,0,533638,4568,0,1,6378,0,1,1,544798
PETROL/ETHANOL,0,0,0,5,1,0,0,0,0,0,379862,379868
PETROL/HYBRID,18,703,0,331390,0,7,2,0,0,1,0,332121
PETROL/LPG,6,2,0,4396,77,0,0,1676,0,0,2,6159
PURE EV,0,0,0,9,1,0,0,0,0,0,0,10
STRONG HYBRID EV,0,0,0,0,0,0,0,0,0,0,1,1
Total,12174,82876,75857,3847431,839878,80547,22840,1105367,867714,59595,17097574,24091853
