Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,1,3709,6,1963,11233,3690,39,13282,1,0,43,33967
DIESEL,3620,98963,33042,1192968,604383,76329,12720,297762,484344,23214,2482,2829827
DIESEL/HYBRID,4,5,1,11318,23,5,3,2,9,0,0,11370
DUAL DIESEL/BIO CNG,0,0,0,0,1,0,0,0,0,0,0,1
DUAL DIESEL/CNG,0,4,1,1,8,4,0,0,0,0,0,18
ELECTRIC BOV,1,6,86,682,56,6,70,46895,33,93,1437,49365
ETHANOL,0,0,0,0,0,0,0,0,0,1,2,3
LNG,0,3,0,0,0,3,0,2,0,0,0,8
LPG ONLY,2,2,0,169,3,0,1,3346,4,402,39,3968
NOT APPLICABLE,1,207,169,5992,1984,110,140,3351,5774,90761,21802,130291
PETROL,3060,9987,32,1414942,3327,426,25,25365,812,1405,16470020,17929401
PETROL/CNG,79,381,0,225707,1629,201,6,108870,7,2,1062,337944
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,2,2
PETROL/HYBRID,0,0,0,528,0,0,0,0,0,0,3,531
PETROL/LPG,115,4783,1,32246,42,63,2,49770,1,10,418,87451
PURE EV,0,0,0,0,2,0,0,0,0,0,0,2
SOLAR,0,1,2,9,0,1,2,3,4,3,210,235
Total,6883,118051,33340,2886525,622691,80838,13008,548648,490989,115891,16497520,21414384
