Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,0,2914,14,1643,24612,2912,4,2280,0,7,9,34395
DIESEL,4273,89887,62696,1175729,846655,76384,12254,310014,658680,11027,862,3248461
DIESEL/HYBRID,18,52,2,59483,9,14,21,4,10,1,0,59614
DUAL DIESEL/CNG,0,0,0,0,5,0,0,0,0,0,0,5
ELECTRIC BOV,0,50,117,1657,656,49,26,110036,16,138,17081,129826
ETHANOL,0,0,0,0,0,10,0,0,0,6,1,17
LPG ONLY,0,2,0,115,1,0,0,3913,3,19,16,4069
NOT APPLICABLE,2,38,100,5479,514,28,68,2145,2596,101156,1935,114061
PETROL,1642,9343,24,1692820,600,351,11,26725,429,760,19570873,21303578
PETROL/CNG,78,349,1,243674,2114,123,1,217353,0,1,233,463927
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,1,1
PETROL/HYBRID,0,0,0,11920,0,0,0,4,0,0,3,11927
PETROL/LPG,26,3660,0,25744,21,17,0,98362,1,4,86,127921
SOLAR,0,0,0,2,1,0,0,1,2,1,57,64
STRONG HYBRID EV,0,0,0,1,0,0,0,0,0,0,0,1
Total,6039,106295,62954,3218267,875188,79888,12385,770837,661737,113120,19591157,25497867
