Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,9,1089,5,54,77849,1112,33,87135,0,6,0,167292
DIESEL,9889,16650,60924,552894,468964,12781,20874,103698,765648,875,227,2013424
DIESEL/HYBRID,0,0,0,32,0,0,2,0,2,0,0,36
DUAL DIESEL/CNG,0,0,13,0,2,0,0,0,0,0,0,15
ELECTRIC BOV,0,1176,7,13015,987,1176,61,158216,4,1,156329,330972
LNG,0,0,0,0,3,0,0,0,0,0,0,3
LPG ONLY,0,0,0,19,3,0,0,13392,0,0,0,13414
METHANOL,0,0,0,0,0,0,0,0,0,2,0,2
NOT APPLICABLE,0,0,18,188,124,0,8,121,1708,74017,12,76196
PETROL,3074,178,49,2034558,43657,11,9004,8620,265,22,13778062,15877500
PETROL/CNG,105,10,0,259414,3789,1,4,17229,0,1,39,280592
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,1,1
PETROL/HYBRID,11,56,0,131912,0,2,0,0,0,0,0,131981
PETROL/LPG,8,7,0,10947,229,0,1,9327,3,0,11,20533
SOLAR,0,0,0,0,1,0,0,0,0,0,0,1
Total,13096,19166,61016,3003033,595608,15083,29987,397738,767630,74924,13934681,18911962
