Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,1,2645,11,2803,7495,2642,11,13786,1,0,36,29431
DIESEL,4047,93678,25813,1262196,563800,69049,11315,288613,458274,21016,2574,2800375
DIESEL/HYBRID,1,1,2,492,11,1,1,2,1,0,0,512
DUAL DIESEL/CNG,0,1,0,0,3,1,0,0,0,0,0,5
ELECTRIC BOV,0,3,2,758,20,2,24,5416,15,87,1434,7761
FUEL CELL HYDROGEN,0,1,0,0,0,1,0,0,0,0,0,2
LNG,0,0,0,0,2,0,0,0,0,0,0,2
LPG ONLY,0,5,0,138,4,1,2,3117,2,7,60,3336
NOT APPLICABLE,4,135,159,1735,1269,82,242,1561,3370,80124,22587,111268
PETROL,2584,9561,30,1229404,4054,382,19,23749,618,1003,15186515,16457919
PETROL/CNG,61,607,0,170926,4823,376,2,85510,2,2,691,263000
PETROL/ETHANOL,0,0,0,1,0,0,0,0,0,0,7,8
PETROL/HYBRID,0,0,0,91,0,0,0,1,0,1,1,94
PETROL/LPG,72,5220,1,34265,66,49,0,34475,10,9,1039,75206
PURE EV,0,0,0,0,1,0,0,0,0,0,0,1
SOLAR,0,0,0,13,8,0,0,3,4,1,169,198
Total,6770,111857,26018,2702822,581556,72586,11616,456233,462297,102250,15215113,19749118
