Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,2,3237,34,1161,15894,3230,15,5901,10,0,49,29533
DIESEL,4493,93870,40787,1210892,656433,75689,11822,272593,557534,16062,2098,2942273
DIESEL/HYBRID,19,577,1,48440,16,25,10,2,5,1,4,49100
DUAL DIESEL/CNG,0,2,0,0,2,2,0,0,0,0,0,6
ELECTRIC BOV,0,16,171,1112,534,16,40,83134,26,427,1528,87004
ETHANOL,0,2,0,0,0,15,0,0,1,2,4,24
FUEL CELL HYDROGEN,0,1,0,0,0,1,0,0,0,0,0,2
LNG,0,0,0,0,2,0,0,0,0,0,0,2
LPG ONLY,0,6,0,166,1,1,1,3170,6,382,85,3818
NOT APPLICABLE,12,148,103,4800,1177,65,136,4544,7583,79159,10685,108412
PETROL,3384,10305,32,1631957,1462,394,32,18191,936,1146,18063083,19730922
PETROL/CNG,145,444,3,219668,692,208,1,125140,1,0,544,346846
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,3,3
PETROL/HYBRID,0,0,0,701,0,0,0,2,0,0,3,706
PETROL/LPG,72,4569,0,30246,22,28,0,57520,3,1,377,92838
PURE EV,0,0,0,0,3,0,0,0,0,0,0,3
SOLAR,0,1,1,1,4,1,1,3,6,0,121,139
Total,8127,113178,41132,3149144,676242,79675,12058,570200,566111,97180,18078584,23391631
