Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,10,7706,38,2674,84241,7798,46,349276,0,0,38235,490024
DIESEL,6013,90354,82686,745301,670788,88870,24078,136939,882417,1199,0,2728645
DIESEL/HYBRID,0,4,0,5259,0,0,0,0,0,0,0,5263
DUAL DIESEL/LNG,0,0,0,0,21,0,0,0,0,0,0,21
ELECTRIC BOV,0,3281,6,73901,5924,3431,21,645233,20,0,728876,1460693
ETHANOL,0,0,0,0,0,0,0,0,0,0,184,184
FUEL CELL HYDROGEN,0,15,0,0,0,15,0,0,0,0,0,30
LNG,0,0,0,0,349,0,0,0,0,0,0,349
LPG ONLY,0,0,0,5,0,0,0,32631,0,0,0,32636
NOT APPLICABLE,0,1,5,50,79,0,29,197,4576,58067,8,63012
PETROL,5278,3864,10,2129999,44089,3249,107,11225,105,25,17095728,19293679
PETROL/CNG,244,37,0,724240,6587,37,4,242,2,0,0,731393
PETROL/ETHANOL,0,0,0,9,0,0,0,0,2,0,656998,657009
PETROL/HYBRID,16,170,0,295200,0,3,4,0,0,2,0,295395
PETROL/LPG,7,0,0,5568,22,0,0,36,0,0,0,5633
PLUG IN HYBRID EV,0,0,0,42,0,0,0,0,0,0,0,42
PURE EV,0,443,0,25909,293,446,1,46036,0,0,420591,493719
SOLAR,0,0,0,0,1,0,0,0,0,0,0,1
STRONG HYBRID EV,0,586,0,58491,0,4,0,0,0,0,1,59082
Total,11568,106461,82745,4066648,812394,103853,24290,1221815,887122,59293,18940621,26316810
