Fuel,Ambulance/Hearses,Bus,Construction Equipment Vehicle,Four Wheeler,Goods Vehicle,Public Service Vehicle,Special Category Vehicles,Three Wheeler,Tractor,Trailer,Two Wheeler,Total
CNG ONLY,6,5184,2,420,101142,5304,49,190230,1,1,0,302339
DIESEL,9962,40147,58656,671399,647023,38781,18874,93652,792435,1294,169,2372392
DIESEL/HYBRID,0,0,0,738,0,0,0,0,0,0,0,738
DUAL DIESEL/CNG,0,0,0,0,1,0,2,0,2,0,0,5
DUAL DIESEL/LNG,0,0,0,0,1,0,0,0,0,0,0,1
ELECTRIC BOV,0,1990,11,38214,326,1990,51,350489,4,1,631452,1024528
ETHANOL,0,0,0,0,0,0,0,0,0,2,0,2
LNG,0,0,0,0,20,0,0,0,0,0,0,20
LPG ONLY,0,0,0,18,2,0,0,14389,0,0,0,14409
NOT APPLICABLE,0,1,11,171,121,1,34,278,4160,71370,4,76151
PETROL,1969,158,8,2148797,48641,26,33,9542,323,17,14966915,17176429
PETROL/CNG,124,1,0,410590,2756,2,1,21291,0,0,26,434791
PETROL/ETHANOL,0,0,0,0,0,0,0,0,0,0,1,1
PETROL/HYBRID,8,10,0,196571,0,2,0,0,0,0,0,196591
PETROL/LPG,38,2,0,7983,213,0,0,4052,3,0,4,12295
STRONG HYBRID EV,0,0,0,1,0,0,0,0,0,0,0,1
Total,12107,47493,58688,3474902,800246,46106,19044,683923,796928,72685,15598571,21610693
