Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,0,147,14,2,8,73,13,2,126,33,1460,9,46,3,47,7400,2578,0,1,937,0,0,157,0,0,48,23,31,456,0,2473,0,36,540,26,16689
Agricultural Tractor,1,33099,52,8,5621,16864,14,32,33,34,47966,876,34942,4,2816,37082,580,44,1,59954,9,40,71704,3,22,2513,20463,56,64794,0,22744,0,2748,111217,7639,543975
Ambulance,1,372,12,429,149,140,18,12,42,45,394,46,258,83,143,697,271,5,0,699,34,4,562,10,16,355,128,12,349,12,340,22,140,686,636,7122
Animal Ambulance,0,4,0,0,0,0,0,0,0,0,5,0,4,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,34
Articulated Vehicle,0,1033,17,21,39,1500,0,65,0,0,17,0,10,17,4,1039,152,0,1,2796,0,0,697,0,21,251,15,0,13906,0,6157,0,38,848,396,29040
Auxiliary Trailer,0,0,0,210,1,0,0,0,0,0,0,0,0,1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1830
Breakdown Van,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,6,12,67
Bulldozer,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,8
Bus,23,1765,773,1230,2080,696,164,243,661,296,4159,281,2942,954,360,6372,2599,76,1,8012,62,151,1919,21,527,829,2691,94,1317,28,1323,94,833,5585,1719,50880
Camper Van / Trailer,0,0,1,32,1,107,0,0,0,0,7,4,19,1035,4,8,6,0,0,29,0,0,7,0,0,1,44,0,22,0,4,0,0,76,42,1449
Camper Van / Trailer (Private Use),0,1,1,2,1,1,0,2,0,0,6,0,274,0,1,4,6,4,0,15,10,0,0,1,0,19,7,0,12,0,17,0,5,0,10,399
Cash Van,0,12,0,34,0,1,1,0,6,0,25,0,10,4,9,5,17,0,0,38,0,0,22,0,0,2,3,0,1,0,0,0,0,72,14,276
Construction Equipment Vehicle,0,4053,9,134,133,406,4,19,0,68,4413,344,112,22,1,852,1056,0,0,1897,79,39,214,40,1228,754,146,10,3229,5,1618,4,58,717,233,21897
Construction Equipment Vehicle (Commercial),0,3,197,0,0,0,0,0,0,0,1,0,4,246,0,8,0,0,0,0,0,0,0,0,76,0,1,0,0,0,0,0,0,17,5,558
Crane Mounted Vehicle,3,30,8,54,0,274,1,5,0,14,262,42,502,1,0,386,180,0,0,1219,0,8,387,1,49,74,119,3,304,0,112,0,14,341,302,4695
Dumper,0,5,162,2864,3,20,0,1,0,0,722,13,0,0,16,11,2,3,0,1119,6,6,17,22,24,38,0,1,4762,0,2,0,36,68,386,10309
Earth Moving Equipment,1,0,0,0,0,138,4,3,0,14,855,227,875,0,0,2706,242,0,0,459,60,33,7,29,0,118,206,6,1566,40,4506,1,2,1624,345,14067
Educational Institution Bus,0,2125,64,1,0,599,13,3,0,2,149,647,2085,0,518,945,1974,17,0,0,17,0,3096,0,1,471,16,71,2060,12,3841,0,121,4666,91,23605
Excavator (Commercial),3,478,183,933,6,7,0,24,0,0,76,6,1,1420,262,1012,0,1,0,2,1,6,3,0,0,329,7,0,0,1,1,116,397,445,821,6541
Excavator (NT),0,1,46,140,0,999,0,2,0,2,618,54,941,2,2,244,37,0,1,2965,67,15,2085,155,0,51,23,2,578,0,9,1,29,3,704,9776
Fire Fighting Vehicle,0,3,0,18,10,15,0,1,0,0,42,1,13,2,0,6,0,0,9,38,0,0,45,0,0,0,5,0,32,0,22,0,1,7,112,382
Fire Tenders,0,35,1,42,0,1,0,1,0,2,12,0,9,1,0,2,10,0,0,13,0,0,1,0,0,19,7,0,8,0,0,0,3,5,17,189
Fork Lift,0,68,1,2,0,1,0,32,0,8,542,0,74,0,0,22,3,0,0,347,1,0,6,0,33,45,0,0,68,0,9,0,10,16,6,1294
Goods Carrier,318,37058,1421,22247,28595,23268,750,1752,19199,1951,58988,8746,37418,19414,9326,62746,26937,435,23,117386,2960,1744,33599,1800,15892,30696,23067,612,45079,385,65368,2386,7369,94175,43175,846285
Harvester,0,354,0,2,0,137,0,0,0,0,61,2,585,0,0,31,1,0,0,246,0,0,257,0,0,51,731,1,105,0,476,0,1,48,52,3141
Hearses,0,1,0,4,1,0,0,2,0,2,6,0,5,0,0,4,3,0,0,16,0,0,3,1,0,3,0,0,3,0,0,0,1,83,33,171
Library Van,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,9
Luxury Cab,0,336,0,0,0,0,0,0,1,0,0,0,3,7,0,3,2,0,0,1,0,0,5,30,0,35,0,0,1,415,0,0,0,1,8929,9769
M-Cycle/Scooter,6293,974512,11678,367789,1060017,448293,28036,11156,489743,48955,1176950,76708,577263,414392,54975,1198844,735289,322,1103,1927144,17310,21787,1155118,16949,6746,658856,655139,54784,1058153,842,1581863,50553,208092,2619824,885743,18601221
M-Cycle/Scooter-With Side Car,1,89,6,22,521,5,0,4,88,33,243,37,321,104,23,5442,4,0,0,1218,49,2,0,0,0,128,6701,9,1361,0,271,3,60,504,257,17506
Maxi Cab,110,1765,180,1297,979,642,9,26,103,114,1245,594,489,1318,588,3504,121,61,0,10,220,122,1223,223,158,2852,1167,41,3193,263,3963,125,1709,4529,1512,34455
Mobile Canteen,0,1,1,1,0,1,0,0,0,3,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,2,18
Mobile Clinic,0,9,0,1,0,3,0,1,0,0,3,3,7,0,0,7,6,0,0,6,0,0,0,1,0,0,1,0,0,0,1,0,2,6,1,58
Mobile Workshop,0,4,0,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,26
Moped,517,0,283,2979,7476,21501,113,1483,3919,7466,112427,2851,2267,9195,45515,64968,22,151,1,32398,2,765,22957,58,43,42342,1476,491,21803,0,103935,0,1279,88549,2440,601672
Motor Cab,171,5347,146,4819,4318,729,172,43,8071,1846,5788,2040,12856,1828,235,21874,11450,28,4,26193,1491,47,2338,531,375,2562,3923,208,5239,838,15146,94,2901,11641,2205,157497
Motor Car,2308,79009,6975,69496,63876,40736,17549,4528,164462,19479,281995,49969,164487,59762,64702,202394,232925,1851,32,331949,9991,7602,120453,3431,7105,54404,117850,8691,166442,2960,202684,4948,48141,289826,80993,2984005
Motor Cycle/Scooter-SideCar(T),0,6,0,0,4,3,0,0,0,107,5,0,347,0,0,24,0,0,0,3,0,0,0,0,0,2,0,0,54,0,0,0,0,789,0,1344
Motor Cycle/Scooter-Used For Hire,198,107,0,0,17,1,0,0,0,458,57,207,1223,0,0,4472,80,359,0,0,0,0,14,218,0,61,112,0,4146,13,0,0,253,2409,39,14444
Motor Cycle/Scooter-With Trailer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Motorised Cycle (CC 25cc),0,6,1,0,58,4227,9,1214,9,156,45400,90,250,79047,2,4841,20,0,0,7424,13,13,0,0,0,17946,271,111,59964,1344,59798,1,15,20044,38591,340865
Omni Bus,42,62,3,4,112,0,0,3,0,6,78,54,38,91,161,1119,0,0,0,72,2,9,4,1,0,547,1,116,518,2,416,0,122,614,984,5181
Omni Bus (Private Use),0,1722,2,26,1,4130,0,0,0,1,4,27,2,140,0,1384,5,0,0,40,2,3,9381,0,0,473,2,1,6,0,40,0,8,32,9170,26602
Power Tiller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Power Tiller (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148
Private Service Vehicle,0,164,3,1,0,41,0,7,0,0,4,28,7,0,268,823,157,2,0,31,0,0,168,0,0,70,38,9,74,0,1126,0,0,97,2,3120
Private Service Vehicle (Individual Use),0,0,0,2,80,38,1,0,0,0,12,495,25,9,3,221,3106,0,0,123,14,3,13,0,0,144,20,0,0,0,6,0,1,63,0,4379
Quadricycle (Commercial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Quadricycle (Private),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Recovery Vehicle,0,19,0,3,0,0,0,0,0,2,10,16,24,0,0,1,5,0,0,11,1,0,2,0,1,19,0,0,27,0,38,0,2,1,22,204
Road Roller,2,145,0,0,0,29,0,0,0,1,37,0,4,0,0,2,10,0,0,31,1,0,114,1,0,4,0,0,7,0,6,0,0,16,1,411
Snorked Ladders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,4
Three Wheeler (Goods),13,10488,3,3311,7440,1042,230,50,1867,5,18781,81,1725,5501,3414,9949,6769,0,14,11761,29,7,6810,0,33,5208,811,30,2797,0,1366,338,401,8651,3533,112458
Three Wheeler (Passenger),134,42730,385,12581,31953,3523,139,63,12925,79,52146,187,14846,13979,481,41657,24624,0,23,158920,899,832,17598,308,759,15138,6355,100,10525,0,35191,1938,1431,32849,13347,548645
