Vehicle Class,AN,AP,AR,AS,BR,CG,CH,DD,DL,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,UK,UP,WB,Total
Adapted Vehicle,1,339,0,1,11,24,26,0,59,9,981,0,59,3,81,4873,473,4,0,902,0,0,128,0,0,35,12,106,164,0,2772,0,19,363,5,11450
Agricultural Tractor,3,19149,6,1273,8742,24825,30,28,12,21,48866,2535,35169,2,385,41643,697,15,0,74113,6,2,98048,4,5,6176,23830,58,84712,0,25173,0,2748,122545,9200,630021
Ambulance,0,529,12,151,26,623,19,7,25,4,448,132,252,67,63,410,278,7,1,970,41,10,350,28,21,698,133,6,296,3,1049,75,104,407,596,7841
Animal Ambulance,0,0,0,0,0,0,0,0,5,1,465,0,7,0,0,1,0,0,0,3,0,0,1,0,0,1,1,0,6,0,0,0,0,1,1,493
Armoured/Specialised Vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Articulated Vehicle,0,232,12,6,15,397,0,22,0,0,19,0,15,6,3,273,45,0,1,572,0,0,195,0,3,98,3,0,3051,0,1166,0,24,253,48,6459
Auxiliary Trailer,0,0,0,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Breakdown Van,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
Bus,6,873,358,465,1207,268,82,105,824,117,1336,231,2193,548,470,3027,885,13,0,4972,44,84,806,18,277,364,1731,32,1678,39,2458,27,662,2489,1126,29815
Camper Van / Trailer,0,0,0,18,0,97,0,0,0,0,4,3,61,34,1,2,3,2,0,48,0,0,7,0,0,5,8,0,12,0,0,8,1,83,16,413
Camper Van / Trailer (Private Use),0,2,0,1,0,0,0,1,0,0,9,2,219,0,0,3,4,0,0,27,5,0,0,0,0,4,6,0,2,0,12,0,0,0,2,299
Cash Van,0,24,0,72,0,6,10,0,93,0,76,0,48,3,9,20,32,0,0,92,0,0,50,0,0,0,5,0,11,0,61,0,4,167,78,861
Construction Equipment Vehicle,0,1836,31,177,1910,301,3,16,0,26,3448,898,399,51,9,3086,294,0,0,3316,160,50,163,158,138,1587,435,4,2137,6,3174,8,46,788,312,24967
Construction Equipment Vehicle (Commercial),0,4,207,0,0,0,1,0,25,0,1,0,0,142,46,7,1,0,0,0,0,0,0,0,66,2,0,0,0,0,1,1,0,653,1,1158
Crane Mounted Vehicle,0,7,9,89,1,142,7,0,0,12,307,276,534,52,1,256,96,0,1,989,7,8,267,4,0,188,118,5,403,0,112,2,21,438,231,4583
Dumper,0,12,340,2535,0,10,0,1,0,0,441,6,0,0,5,142,1,0,0,716,18,32,7,73,91,61,0,0,2500,0,2,0,16,76,206,7291
Earth Moving Equipment,8,0,12,9,0,39,5,0,0,5,379,230,971,40,2,1381,826,0,0,137,50,36,8,15,0,91,393,10,2054,28,1541,0,4,1989,216,10479
Educational Institution Bus,0,453,0,0,0,204,11,1,0,1,46,219,983,0,441,383,396,4,0,1,10,0,692,0,0,174,1,24,869,7,938,0,65,2097,40,8060
Excavator (Commercial),0,252,205,1120,0,0,0,9,0,1,44,0,45,706,450,194,0,0,0,2,2,1,1,0,0,158,0,0,0,4,0,157,442,221,464,4478
Excavator (NT),0,1,2,100,0,1079,0,4,0,0,440,163,52,0,3,66,1,0,0,2266,58,14,2092,16,0,38,14,0,101,0,14,0,6,4,284,6818
Fire Fighting Vehicle,0,3,1,8,56,6,0,1,0,0,26,1,7,2,1,1,0,0,0,42,0,0,34,1,0,3,1,0,16,0,22,0,0,6,21,259
Fire Tenders,0,16,0,12,5,20,0,0,0,2,31,0,6,0,0,4,0,0,0,14,0,0,0,0,0,5,0,4,1,0,12,0,2,85,4,223
Fork Lift,0,52,0,0,0,1,0,26,0,1,492,1,34,3,2,9,6,0,0,176,0,0,2,0,0,22,0,0,47,0,14,0,2,7,8,905
Goods Carrier,173,16696,970,14822,18227,10261,541,983,11456,1352,32254,6699,20929,9656,8617,37332,17864,415,7,67878,2563,1088,21283,1693,4787,19116,12409,370,29059,288,42527,1993,4197,46447,25016,489968
Harvester,0,658,0,0,1,603,0,0,0,0,157,2,883,0,0,95,0,0,0,341,0,0,918,0,0,185,1997,0,624,0,1157,0,4,841,101,8567
Hearses,0,2,0,1,0,0,0,1,0,1,15,0,5,3,0,7,3,0,0,33,1,0,3,0,0,0,5,0,10,0,83,0,0,16,17,206
Library Van,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Luxury Cab,0,167,2,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,6,24,0,13,0,0,0,61,0,0,0,0,2916,3196
M-Cycle/Scooter,3440,824330,12086,289244,823029,380674,14944,5734,276754,27367,683613,65638,383922,312030,57809,845911,445109,73,672,1281308,10504,7917,991454,16301,4681,461524,376760,35364,791066,1383,1121617,37088,134886,2051759,895431,13671422
M-Cycle/Scooter-With Side Car,1,41,54,34,4100,1,0,1,61,9,164,108,137,392,17,845,253,0,1,672,24,2,0,0,2,103,4667,5,1213,0,220,9,67,955,259,14417
Maxi Cab,4,778,35,314,303,361,3,12,26,39,395,306,213,589,380,1185,64,4,1,0,90,23,477,3,47,1196,210,15,1132,32,904,141,447,1019,695,11443
Mobile Canteen,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16
Mobile Clinic,0,3,0,6,0,1,0,0,0,2,2,4,1,7,0,5,9,0,0,65,0,0,1,0,0,0,0,0,0,0,3,0,0,28,1,138
Mobile Workshop,0,2,0,7,0,0,0,0,0,0,2,0,3,0,4,2,1,0,0,4,0,0,1,0,0,1,0,0,1,0,0,0,3,9,1,41
Modular Hydraulic Trailer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Moped,1094,1,11,2310,18890,7462,7,2304,1408,1243,62315,2741,1795,7218,51483,40743,130,101,0,19690,0,1826,9566,1,1,23670,137,228,12341,0,76328,0,471,63549,3206,412270
